Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Avg Velocity (m/s),Range of Motion (mm),Peak Velocity (m/s),Peak Velocity Location (%),Duration of rep (sec)
banded bench,1,1,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.32,219,0.49,70,0.689
banded bench,1,2,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.3,196,0.45,64,0.647
banded bench,1,3,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.26,203,0.47,73,0.792
banded bench,1,4,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.26,187,0.58,94,0.736
banded bench,1,5,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.19,218,0.38,44,1.14
banded bench,2,1,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.35,330,0.53,108,0.931
banded bench,2,2,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,335,0.54,264,1.089
banded bench,2,3,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.35,311,0.47,73,0.879
banded bench,2,4,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,286,0.43,67,0.911
banded bench,2,5,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,302,0.47,61,0.979
banded bench,3,1,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.38,288,0.51,74,0.765
banded bench,3,2,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.27,281,0.44,69,1.058
banded bench,3,3,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.34,287,0.43,56,0.85
banded bench,3,4,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.26,277,0.35,60,1.065
banded bench,3,5,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.23,255,0.4,59,1.131
banded bench,4,1,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.36,322,0.47,78,0.883
banded bench,4,2,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.28,297,0.49,91,1.059
banded bench,4,3,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.24,305,0.39,60,1.263
banded bench,4,4,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.19,336,0.38,49,1.762
banded bench,4,5,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.26,307,0.56,88,1.181
main bench,1,1,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.48,335,0.73,244,0.695
main bench,1,2,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.52,355,0.85,251,0.68
main bench,1,3,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.54,379,0.77,310,0.702
main bench,2,1,170,lbs,,,"5/19/2022, 7:18:09 AM",0:03:26,0.32,236,0.54,202,0.728
main bench,2,2,170,lbs,,,"5/19/2022, 7:18:09 AM",0:03:26,0.47,345,0.61,278,0.741
main bench,3,1,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.34,304,0.49,254,0.905
main bench,3,2,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.37,314,0.51,257,0.857
main bench,3,3,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.33,306,0.46,257,0.944
main bench,3,4,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.31,319,0.41,274,1.021
main bench,3,5,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.28,315,0.36,60,1.141
main bench,4,1,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.3,344,0.4,301,1.152
main bench,4,2,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.26,296,0.34,93,1.135
main bench,4,3,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.28,334,0.37,299,1.188
main bench,4,4,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.27,360,0.35,301,1.348
main bench,4,5,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.23,315,0.29,218,1.351
main bench,5,1,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.29,308,0.45,258,1.062
main bench,5,2,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.24,315,0.36,284,1.293
main bench,5,3,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.26,324,0.31,225,1.25
main bench,5,4,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.25,340,0.33,238,1.35
main bench,5,5,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.19,306,0.24,51,1.607
main bench,1,1,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.52,334,0.83,229,0.641
main bench,1,2,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.55,354,0.82,256,0.649
main bench,1,3,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.32,265,0.54,209,0.838
main bench,2,1,175,lbs,< 5.5,warmup,"5/21/2022, 12:11:49 PM",0:02:17,0.49,343,0.69,263,0.698
main bench,2,2,175,lbs,< 5.5,warmup,"5/21/2022, 12:11:49 PM",0:02:17,0.5,397,0.77,315,0.793
main bench,3,1,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.31,331,0.41,279,1.067
main bench,3,2,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.33,358,0.43,300,1.077
main bench,3,3,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.29,345,0.34,58,1.201
main bench,3,4,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.25,325,0.3,276,1.293
